url;pelmorex_id;name;province;coords
https://www.eltiempo.es/mallecina.html;ESO1194;Mallecina;Asturias;(43.4486049, -6.2560516)
https://www.eltiempo.es/arcocha.html;ESXX9534;Arcocha;Vizcaya;(43.2616921, -2.9262609)
https://www.eltiempo.es/torrejon.html;ESXX16949;TorrejÃ³n;Teruel;(41.1279977, -0.1457861)
https://www.eltiempo.es/pousacarro.html;ESXX11553;Pousacarro;A CoruÃ±a;(42.6799704, -8.9830592)
https://www.eltiempo.es/lomo-pelado.html;ESXX12715;Lomo Pelado;Tenerife;(28.4395342, -16.3684563)
https://www.eltiempo.es/fonteferreira.html;ESXX10487;Fonteferreira;Lugo;(42.7217627, -7.0669567)
https://www.eltiempo.es/casillas-de-flores.html;ESXX1741;Casillas de Flores;Salamanca;(40.3691075, -6.746380176006475)
https://www.eltiempo.es/ceclavin.html;ESXX0302;CeclavÃ­n;CÃ¡ceres;(39.8224249, -6.7734102)
https://www.eltiempo.es/lascellas.html;ESXX4751;Lascellas;Huesca;(42.0777376, -0.0822942)
